,m1,m2,m3,width_plus_height
63,0.034280117531831536,65.2458374142997,-0.001743698999999932,7200
77,0.023506366307541625,63.55044074436827,-0.0004673260000003232,7200
88,0.10088148873653281,78.11655239960822,-0.000733390000000611,7200
89,0.0940254652301665,78.0617042115573,0.0011209339999993517,7200
76,0.02644466209598433,67.51518119490696,-0.00015007899999996965,7200
62,0.040156709108716944,73.95004897159647,3.48849999989298e-05,7200
74,0.02644466209598433,63.81586679725759,-0.0007749919999993082,7200
60,0.04407443682664055,60.01469147894221,-0.0004459839999997328,7200
48,0.023506366307541625,64.02154750244858,0.00019147899999971685,7200
49,0.01665034280117532,66.5847208619001,9.88000000035072e-07,7200
61,0.047992164544564155,71.60333006856024,-0.00033765199999979956,7200
75,0.025465230166503428,67.4818805093046,0.001360888999998977,7200
59,0.04407443682664055,60.94613124387855,6.466500000001929e-05,7200
71,0.04113614103819784,60.308521057786486,0.000649051999998207,7200
65,0.022526934378060724,82.72477962781586,0.0005222919999994247,7200
64,0.05288932419196866,82.20372184133203,-0.00108441899999967,7200
70,0.10675808031341821,61.46718903036239,-0.0012019350000009865,7200
58,0.04603330068560235,59.13124387855044,-0.0024519220000005504,7200
8,0.010773751224289911,63.71498530852106,4.639099999970142e-05,7200
66,0.047992164544564155,86.33986287952987,0.000498102999999972,7200
72,0.04995102840352596,60.79040156709109,-0.0012512979999996787,7200
99,0.02742409402546523,64.60724779627816,0.0004200240000002964,7200
98,0.021547502448579822,64.08423114593536,0.0004942519999975303,7200
73,0.05288932419196866,58.69343780607248,-0.00011769199999989155,7200
67,0.06072477962781587,74.08521057786484,0.0024213549999991812,7200
9,0.04113614103819784,71.4515181194907,-0.0015977809999991877,7200
14,0.019588638589618023,62.1488736532811,-0.0003311130000014373,7200
28,0.014691478942213516,67.78060724779628,7.55420000029261e-05,7200
101,0.03721841332027424,63.297747306562194,0.00011258900000044036,7200
115,0.01762977473065622,64.6611165523996,0.0004173409999985722,7200
114,0.019588638589618023,62.65034280117532,-0.0008482409999999163,7200
100,0.021547502448579822,64.27619980411362,-0.00038302600000150733,7200
29,0.03819784524975514,72.3232125367287,0.0009451130000037722,7200
15,0.021547502448579822,66.2967678746327,-0.0009836080000020786,7200
17,0.03721841332027424,65.32615083251714,-0.00017756399999768746,7200
116,0.021547502448579822,63.4975514201763,0.00026010300000223197,7200
102,0.01860920666013712,63.447600391772774,-0.0010882820000013282,7200
103,0.02840352595494613,63.24289911851126,-0.00012680300000056377,7200
117,0.031341821743388835,68.5484818805093,0.0077351650000032635,7200
16,0.03623898139079334,64.59647404505387,0.00024968600000008223,7200
12,0.025465230166503428,64.64446620959843,5.6554000000375027e-05,7200
113,0.030362389813907934,68.06366307541626,-0.0006724789999985603,7200
107,0.039177277179236046,77.63761018609206,0.003180572000001547,7200
106,0.025465230166503428,61.47110675808031,-1.9989999998415442e-05,7200
112,0.023506366307541625,64.71106758080313,1.2910000002364086e-06,7200
13,0.01762977473065622,63.71008814887365,-0.000579125999998098,7200
39,0.019588638589618023,61.052889324191966,-2.0839000001160457e-05,7200
11,0.021547502448579822,62.51224289911851,6.283300000120562e-05,7200
104,0.01860920666013712,62.97159647404506,1.3756000001308166e-05,7200
110,0.022526934378060724,63.44564152791381,-0.0006778189999998574,7200
111,0.02056807051909892,68.68952007835455,0.000646491000001248,7200
105,0.02644466209598433,62.0205680705191,0.0009436990000004641,7200
10,0.05190989226248776,64.58765915768853,-0.00011936199999951214,7200
38,0.0871694417238002,93.98530852105779,0.0003410780000017155,7200
21,0.031341821743388835,61.59353574926543,0.0009998910000028616,7200
35,0.03232125367286973,64.33692458374144,-0.0019927020000025664,7200
108,0.030362389813907934,60.96865817825661,-0.0013393730000004211,7200
109,0.03525954946131244,61.15475024485798,-0.0016779580000019223,7200
34,0.04113614103819784,65.13907933398629,-0.00016895199999922283,7200
20,0.023506366307541625,62.85014691478942,0.0018026449999979377,7200
36,0.00881488736532811,62.47502448579824,0.008567582000001295,7200
22,0.02056807051909892,61.56513222331048,-0.0005022560000043086,7200
23,0.04603330068560235,61.24387855044075,-0.0002912959999932241,7200
37,0.021547502448579822,63.432908912830555,-2.4266000004047328e-05,7200
33,0.012732615083251714,63.80313418217434,-0.00010057699999777014,7200
27,0.019588638589618023,66.81586679725758,0.00016364399999702073,7200
26,0.10577864838393732,63.3232125367287,-0.000857776000003696,7200
32,0.024485798237022526,64.73261508325172,-0.0006495419999978935,7200
18,0.04505386875612145,68.06953966699314,0.004261713999994754,7200
24,0.024485798237022526,62.401567091087166,6.6033000003074e-05,7200
30,0.014691478942213516,64.63858961802154,-0.00044138500000201475,7200
31,0.02840352595494613,73.74436826640549,0.00026175200000722043,7200
25,0.02840352595494613,67.04407443682663,0.0019342450000010558,7200
19,0.03330068560235064,61.0617042115573,0.0003241009999968014,7200
42,0.015670910871694418,62.797257590597454,-0.0094424269999962,7200
4,0.022526934378060724,64.57296767874632,0.0004845940000066662,7200
56,0.03819784524975514,80.04603330068561,0.0039003260000001205,7200
81,0.03525954946131244,64.0303623898139,-0.0072337719999993055,7200
95,0.02840352595494613,75.96474045053868,-0.0001162699999994743,7200
94,0.021547502448579822,70.94711067580803,-0.00024444299999970553,7200
80,0.06072477962781587,64.20861900097943,4.760300000583584e-05,7200
5,0.025465230166503428,63.62095984329089,-0.0013350449999975922,7200
57,0.02840352595494613,79.0979431929481,0.0001368180000014263,7200
43,0.02056807051909892,66.7952987267385,0.002466837999996585,7200
55,0.03232125367286973,73.33398628795298,0.0014586740000055443,7200
7,0.04995102840352596,70.0666013712047,-0.0020336510000049657,7200
41,0.050930460333006855,67.3330068560235,-5.389999984117821e-07,7200
69,0.023506366307541625,79.81292850146914,0.0034940970000008065,7200
96,0.07835455435847209,86.49951028403525,-0.0003243099999963306,7200
82,0.019588638589618023,65.8050930460333,-0.00043625200000008135,7200
83,0.029382957884427033,63.354554358472086,-0.0007200049999980251,7200
97,0.024485798237022526,65.16258570029383,-0.000863703000000271,7200
68,0.04897159647404505,84.61606268364349,-5.107699999484794e-05,7200
40,0.013712047012732615,60.27130264446621,0.0007104570000038279,7200
54,0.06856023506366307,77.48873653281098,-0.005237682000000632,7200
6,0.043095004897159644,65.85896180215475,0.002353167999999073,7200
78,0.07149853085210578,60.11753183153771,0.0004996439999942481,7200
2,0.030362389813907934,64.81390793339862,-0.001314061999998728,7200
50,0.01762977473065622,72.16062683643487,0.0003085959999964416,7200
44,0.01860920666013712,61.52497551420176,-0.001684882999995807,7200
93,0.04407443682664055,66.47796278158668,-0.0013235310000041522,7200
87,0.05680705190989226,70.25465230166503,3.8254999999765005e-05,7200
86,0.06072477962781587,72.61410381978453,0.0015318920000026992,7200
92,0.03330068560235064,63.22331047992164,-0.0006692910000012375,7200
45,0.04505386875612145,67.56611165523996,-0.00019450300000301013,7200
3,0.024485798237022526,63.3741429970617,-0.0006255260000003204,7200
51,0.03721841332027424,60.81978452497552,-0.00023443300000280942,7200
79,0.0871694417238002,62.598432908912834,0.00023453899999736905,7200
47,0.01860920666013712,69.35259549461313,-0.0009792840000102387,7200
53,0.01665034280117532,74.44662095984329,-3.259100000008175e-05,7200
1,0.02056807051909892,68.33986287952987,-0.00044046999999380887,7200
84,0.024485798237022526,62.83251714005877,0.0018947650000029626,7200
90,0.04211557296767875,88.60333006856024,0.00026394300000021076,7200
91,0.03819784524975514,70.56709108716944,-0.00013181599999967375,7200
85,0.02056807051909892,62.36336924583741,0.00015758400000009942,7200
52,0.034280117531831536,64.7590597453477,0.00508597399999644,7200
0,0.023506366307541625,63.05386875612145,0.00014613500000137947,7200
46,0.029382957884427033,74.68658178256611,0.00016902999999501844,7200
